,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
881,0.308,0.442,1,-10.8,1,0.0424,0.747,0.0108,0.12,0.234,138.736,audio_features,3qlC2XXMlIaVDEBbgswg1U,spotify:track:3qlC2XXMlIaVDEBbgswg1U,https://api.spotify.com/v1/tracks/3qlC2XXMlIaVDEBbgswg1U,https://api.spotify.com/v1/audio-analysis/3qlC2XXMlIaVDEBbgswg1U,187387,4
882,0.379,0.462,10,-11.464,1,0.0367,0.48,0.00243,0.174,0.198,76.514,audio_features,7fe6dOTqoGB2wzhH0fo9oo,spotify:track:7fe6dOTqoGB2wzhH0fo9oo,https://api.spotify.com/v1/tracks/7fe6dOTqoGB2wzhH0fo9oo,https://api.spotify.com/v1/audio-analysis/7fe6dOTqoGB2wzhH0fo9oo,226867,4
883,0.261,0.523,4,-9.807,1,0.0373,0.724,4.13E-05,0.104,0.209,152.504,audio_features,31bEvSHLpb6MY0roMHpbyq,spotify:track:31bEvSHLpb6MY0roMHpbyq,https://api.spotify.com/v1/tracks/31bEvSHLpb6MY0roMHpbyq,https://api.spotify.com/v1/audio-analysis/31bEvSHLpb6MY0roMHpbyq,230867,4
884,0.64,0.522,1,-10.171,0,0.0234,0.77,0.00141,0.109,0.371,90.059,audio_features,1GipXb4gCkBgVpkYY49JhE,spotify:track:1GipXb4gCkBgVpkYY49JhE,https://api.spotify.com/v1/tracks/1GipXb4gCkBgVpkYY49JhE,https://api.spotify.com/v1/audio-analysis/1GipXb4gCkBgVpkYY49JhE,283272,4
885,0.816,0.199,0,-10.726,1,0.0312,0.774,2.14E-05,0.124,0.461,105.032,audio_features,2bUuOJMH9U83ikPmsfuu0l,spotify:track:2bUuOJMH9U83ikPmsfuu0l,https://api.spotify.com/v1/tracks/2bUuOJMH9U83ikPmsfuu0l,https://api.spotify.com/v1/audio-analysis/2bUuOJMH9U83ikPmsfuu0l,199933,4
886,0.693,0.517,5,-7.716,1,0.0266,0.83,3.86E-05,0.109,0.477,128.105,audio_features,0sVnFDzodb8UfjSRKa9zYq,spotify:track:0sVnFDzodb8UfjSRKa9zYq,https://api.spotify.com/v1/tracks/0sVnFDzodb8UfjSRKa9zYq,https://api.spotify.com/v1/audio-analysis/0sVnFDzodb8UfjSRKa9zYq,294960,4
887,0.492,0.129,0,-14.988,1,0.0357,0.905,0.0037,0.111,0.323,122.201,audio_features,15da8anT7Qryt0VFxdhtTZ,spotify:track:15da8anT7Qryt0VFxdhtTZ,https://api.spotify.com/v1/tracks/15da8anT7Qryt0VFxdhtTZ,https://api.spotify.com/v1/audio-analysis/15da8anT7Qryt0VFxdhtTZ,280627,4
888,0.686,0.25,2,-10.641,0,0.0295,0.811,4.20E-06,0.118,0.304,130.101,audio_features,6lZqPzWr6z05uf9qZK0WZ4,spotify:track:6lZqPzWr6z05uf9qZK0WZ4,https://api.spotify.com/v1/tracks/6lZqPzWr6z05uf9qZK0WZ4,https://api.spotify.com/v1/audio-analysis/6lZqPzWr6z05uf9qZK0WZ4,276427,4
889,0.696,0.441,9,-9.701,1,0.0384,0.794,0,0.136,0.501,87.497,audio_features,78mmt0FtEuDOaYkHV45sJd,spotify:track:78mmt0FtEuDOaYkHV45sJd,https://api.spotify.com/v1/tracks/78mmt0FtEuDOaYkHV45sJd,https://api.spotify.com/v1/audio-analysis/78mmt0FtEuDOaYkHV45sJd,251813,4
890,0.315,0.202,0,-13.348,1,0.0315,0.815,0.0101,0.108,0.181,87.598,audio_features,1dOJylXvtSvSedjpnZsZkb,spotify:track:1dOJylXvtSvSedjpnZsZkb,https://api.spotify.com/v1/tracks/1dOJylXvtSvSedjpnZsZkb,https://api.spotify.com/v1/audio-analysis/1dOJylXvtSvSedjpnZsZkb,285067,3
891,0.723,0.344,7,-9.803,1,0.0272,0.736,5.23E-06,0.108,0.456,110.076,audio_features,6UjSPi5dLtW7qbz93LvNc0,spotify:track:6UjSPi5dLtW7qbz93LvNc0,https://api.spotify.com/v1/tracks/6UjSPi5dLtW7qbz93LvNc0,https://api.spotify.com/v1/audio-analysis/6UjSPi5dLtW7qbz93LvNc0,263640,4
892,0.245,0.214,5,-10.593,1,0.0334,0.831,1.58E-05,0.123,0.23,166.636,audio_features,5Uc7ndSI2OrYEknn9Nl8uF,spotify:track:5Uc7ndSI2OrYEknn9Nl8uF,https://api.spotify.com/v1/tracks/5Uc7ndSI2OrYEknn9Nl8uF,https://api.spotify.com/v1/audio-analysis/5Uc7ndSI2OrYEknn9Nl8uF,265950,3
