followers,artist_name,popularity,id_for_artist
73735,Ric Segreto,50,5uRUbTUQysRUR7PUy7pimM
645036,Rico Blanco,52,6l880dxsvN2x5wiceaG6D0
905965,SB19,61,3g7vYcdDXnqnDKYFwqXBJP
656276,SUD,49,0jKQrxK2zHqxyOAyIMrUQt
137733,Sampaguita,37,1KoRj2ZFjBc0xgcgMNBMIX
133051,Shoti,57,68URuxUxsFzcPp2y3j0kjW
905865,Side A,47,31oMMIBDMM2Z1RQO7u8irE
81381,Sitti,44,0t7vWPRBcVv4xBEHPZHSWA
68,Subas Herrero,35,6iBDYFuPZ8SXiWCrRLX5AD
1501954,TJ Monterde,59,7LvDTuFCBv08xm6u1pOMK0
10753,Tatak Pinoy All-Stars,33,7vwlQ7XElRyPMJQGUXBz4O
20786,The Boyfriends,45,1WHYTMWSXn7ix7PAO82FEX
70,The Filipino Snares,0,18XS5OQCfvtZPaaK6s7tcg
8,The Filipino Story,0,0yEeWaiP241r07SAhgjj6U
93,The Kiko St. Francis Filipino Singers,0,1bQodSS0a7SkYe5Q1dEoBp
785960,Toni Gonzaga,45,5BAyYwbv8OSfqeXMjPgWX6
8,Traditional Filipino Melody,0,6qsbznqe8DGFTtxuHRN6na
593267,True Faith,46,6RV3CKY0UJIPKXyGs85Thm
60,Two Filipinos,0,2YNvwH91jCfd38XRYQJgDE
0,Umuusbong Na Samahang May Atikha Sa Filipino,0,2a9kXhb4KwQ45cQh8YVTba
203871,VST & Company,50,1JygQfeB7OmzophGsgNwSb
82596,Victor Wood,44,69U0Mjj15pDu1zJ0oyWN9u
164,Viva Music Publishing Inc.,43,1d1BeULLUX4HWNVypEUMfy
115075,Waiian,44,3p5RE0gW2l4oFW82SgMv29
30431,Yno,48,1UA8gmDdRTIn1SIswEIAXg
3555169,Zack Tabudlo,69,67IN4cLJ7798gUapyZlmac
16179,Zia Quizon,47,45n4dyhe8nXULBDb6wHSXe
382666,Zild,55,7BxbcnOfx5r4d53UQl2I1s
479221,mrld,60,31fsDbpNPKe346urriO4ma
7,skinny filipino,0,6p3w5Er4MXy4KBmEUiezwO
